Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
38,2018-03-29,06:28:00,06:28:00,0 days 00:00:00.000000000,0,3,2,4,2,5,3617,26,757,8,0,1,1
7,2019-02-08,06:51:00,06:52:00,0 days 00:01:00.000000000,1,4,2,3,2,2,7729,43,5308,1,0,1,0
23,2018-06-12,06:38:00,06:40:00,0 days 00:02:00.000000000,0,3,2,4,2,8,5023,43,6143,1,0,1,0
25,2015-09-09,08:15:00,08:16:00,0 days 00:01:00.000000000,4,1,2,4,2,5,3433,26,1042,8,0,1,1
53,2018-09-12,08:12:00,08:13:00,0 days 00:01:00.000000000,0,4,2,7,2,5,3168,17,995,8,1,1,1
30,2015-10-19,06:33:00,06:35:00,0 days 00:02:00.000000000,0,1,2,10,2,5,2711,50,1687,1,1,0,0
30,2016-09-16,07:00:00,07:15:00,0 days 00:15:00.000000000,0,2,2,4,2,3,1138,39,3329,8,0,1,1
53,2018-10-10,06:34:00,06:34:00,0 days 00:00:00.000000000,0,4,2,4,2,5,3342,26,1036,8,0,1,1
7,2017-10-26,07:49:00,07:52:00,0 days 00:03:00.000000000,3,3,2,4,2,11,8212,14,6611,8,1,1,1
15,2017-02-07,07:27:00,07:32:00,0 days 00:05:00.000000000,15,2,2,4,2,8,5016,43,2375,1,0,1,0
75,2018-04-30,06:34:00,06:39:00,0 days 00:05:00.000000000,1,3,1,4,2,2,564,48,297,4,0,1,0
25,2016-09-20,08:04:00,08:06:00,0 days 00:02:00.000000000,9,2,1,4,2,2,207,18,604,4,0,1,1
20,2016-12-19,14:00:00,14:02:00,0 days 00:02:00.000000000,0,2,1,7,2,2,3853,14,2560,4,0,1,1
53,2019-01-09,06:30:00,06:44:00,0 days 00:14:00.000000000,0,4,1,4,2,3,300,25,5185,4,1,1,1
7,2017-10-03,07:11:00,07:14:00,0 days 00:03:00.000000000,4,3,1,4,2,2,6410,14,2375,4,0,1,1
23,2019-03-12,06:45:00,06:45:00,0 days 00:00:00.000000000,4,4,2,4,2,3,915,16,1941,8,0,1,1
