Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
20,2016-08-03,07:45:00,07:46:00,0 days 00:01:00.000000000,3,2,2,4,2,9,2911,44,4607,7,0,1,0
30,2017-01-09,15:57:00,16:01:00,0 days 00:04:00.000000000,0,2,2,3,2,9,3598,44,1596,1,0,0,0
10,2017-04-24,08:00:00,08:06:00,0 days 00:06:00.000000000,0,2,2,4,2,11,3841,44,1201,1,0,1,0
38,2019-01-15,06:15:00,06:16:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2191,27,731,7,0,1,1
38,2019-04-02,13:58:00,13:59:00,0 days 00:01:00.000000000,0,4,2,7,2,4,602,40,850,9,0,1,0
23,2019-01-29,06:25:00,06:28:00,0 days 00:03:00.000000000,0,4,2,6,2,3,4252,44,664,7,0,1,0
75,2019-02-11,06:45:00,07:14:00,0 days 00:29:00.000000000,0,4,2,7,2,9,3368,33,3172,7,0,0,0
23,2018-02-14,06:44:00,06:44:00,0 days 00:00:00.000000000,0,3,2,4,2,6,1860,27,341,7,0,1,1
25,2017-01-03,06:30:00,06:31:00,0 days 00:01:00.000000000,0,2,2,4,2,6,1810,29,777,7,0,1,1
0,2017-12-18,14:45:00,14:49:00,0 days 00:04:00.000000000,0,3,2,10,1,3,4655,30,3861,9,0,1,1
25,2016-03-03,07:38:00,07:41:00,0 days 00:03:00.000000000,1,1,2,4,2,11,1597,47,1917,7,1,1,1
30,2016-12-19,07:44:00,07:45:00,0 days 00:01:00.000000000,0,2,2,4,2,9,3215,33,1734,7,0,1,1
53,2018-10-18,14:00:00,15:06:00,0 days 01:06:00.000000000,0,4,2,6,2,9,1438,33,2898,7,0,1,1
38,2018-03-28,07:27:00,07:28:00,0 days 00:01:00.000000000,0,3,2,4,2,6,2160,27,572,7,0,1,1
25,2015-09-18,07:48:00,07:49:00,0 days 00:01:00.000000000,5,1,1,4,2,3,69,19,2264,4,0,1,1
20,2016-03-14,07:46:00,07:48:00,0 days 00:02:00.000000000,2,1,2,4,2,12,4069,35,3967,7,0,0,0
30,2017-01-10,06:11:00,06:12:00,0 days 00:01:00.000000000,0,2,2,4,2,3,1545,47,1854,7,1,1,1
0,2018-10-02,05:43:00,05:56:00,0 days 00:13:00.000000000,0,4,2,6,1,9,3341,22,201,7,0,0,1
7,2017-10-17,06:57:00,06:58:00,0 days 00:01:00.000000000,4,3,1,4,2,3,2531,15,1747,4,0,1,1
0,2015-10-29,06:57:00,07:00:00,0 days 00:03:00.000000000,0,1,2,10,1,3,4773,30,3093,7,0,1,1
75,2017-11-08,11:30:00,11:48:00,0 days 00:18:00.000000000,30,3,2,1,2,6,1685,11,190,8,0,1,1
20,2016-02-24,08:00:00,08:25:00,0 days 00:25:00.000000000,3,1,2,7,2,6,2015,22,826,7,0,1,1
53,2019-01-02,07:41:00,07:43:00,0 days 00:02:00.000000000,0,4,2,7,2,7,2626,40,3710,7,1,1,1
38,2018-01-16,07:52:00,07:53:00,0 days 00:01:00.000000000,0,3,2,4,2,6,2200,27,584,7,0,1,1
38,2017-11-09,06:21:00,06:43:00,0 days 00:22:00.000000000,0,3,2,6,2,6,1811,51,1893,1,0,1,1
38,2019-03-27,13:34:00,13:37:00,0 days 00:03:00.000000000,0,4,2,4,2,6,2042,27,689,9,0,1,1
20,2015-12-03,06:26:00,06:26:00,0 days 00:00:00.000000000,3,1,2,4,2,6,1835,27,694,7,0,1,1
23,2018-02-14,07:28:00,07:34:00,0 days 00:06:00.000000000,11,3,1,4,2,3,2671,15,423,4,0,1,1
10,2015-11-25,07:54:00,07:55:00,0 days 00:01:00.000000000,3,1,2,4,2,4,1326,9,1111,7,0,1,1
15,2016-02-23,14:40:00,14:53:00,0 days 00:13:00.000000000,0,1,2,4,2,4,1165,11,1231,3,0,0,1
25,2017-01-04,06:36:00,06:38:00,0 days 00:02:00.000000000,0,2,2,4,2,4,531,40,4395,7,0,1,1
