Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
30,2016-10-31,07:00:00,07:28:00,0 days 00:28:00.000000000,0,2,2,4,2,7,621,8,428,1,0,1,0
45,2017-05-08,14:08:00,14:11:00,0 days 00:03:00.000000000,0,2,1,6,2,2,13,16,806,4,0,1,1
53,2019-02-06,06:13:00,06:14:00,0 days 00:01:00.000000000,0,4,2,4,2,4,415,24,153,7,0,1,1
75,2018-11-15,07:24:00,07:24:00,0 days 00:00:00.000000000,2,4,1,4,2,2,68,44,31,4,0,1,1
38,2017-09-28,07:14:00,07:16:00,0 days 00:02:00.000000000,0,3,2,4,2,4,395,24,170,7,0,1,1
23,2019-01-28,08:28:00,08:29:00,0 days 00:01:00.000000000,12,4,1,7,2,2,32,16,799,4,0,1,1
10,2017-07-06,07:50:00,07:47:00,-1 days +23:57:00.000000000,2,3,1,4,2,2,61,12,401,4,0,1,1
20,2016-10-25,14:25:00,14:33:00,0 days 00:08:00.000000000,0,2,2,7,2,4,358,24,326,9,1,1,1
23,2018-12-06,07:15:00,07:27:00,0 days 00:12:00.000000000,10,4,1,4,2,2,518,12,404,4,0,1,1
7,2017-09-11,07:45:00,07:50:00,0 days 00:05:00.000000000,6,3,2,4,2,2,780,39,791,7,0,1,0
7,2018-10-26,08:06:00,08:07:00,0 days 00:01:00.000000000,10,4,1,4,2,2,1,16,812,4,0,1,1
7,2018-01-18,07:46:00,07:47:00,0 days 00:01:00.000000000,5,3,2,4,2,4,457,24,160,7,0,1,1
30,2017-04-28,14:20:00,14:23:00,0 days 00:03:00.000000000,0,2,2,4,2,4,351,48,924,9,0,1,1
25,2016-09-21,06:58:00,07:00:00,0 days 00:02:00.000000000,0,2,2,4,2,9,712,39,32,1,0,1,0
15,2017-01-30,07:10:00,07:12:00,0 days 00:02:00.000000000,3,2,2,4,2,7,575,27,739,7,0,1,1
53,2018-05-14,06:44:00,06:45:00,0 days 00:01:00.000000000,0,3,2,4,2,4,365,42,433,7,1,1,1
